company_id,broad_sector,sub_sector
ABB,Industrials,Electrical Equipment
ADANIENSOL,Energy,Power
ADANIENT,Industrials,Diversified
ADANIGREEN,Energy,Renewable Energy
ADANIPORTS,Industrials,Transportation Infrastructure
ADANIPOWER,Energy,Power
AMBUJACEM,Materials,Cement
APOLLOHOSP,Healthcare,Healthcare Services
ASIANPAINT,Consumer Discretionary,Consumer Products
ATGL,Energy,Gas Distribution
BAJAJ-AUTO,Consumer Discretionary,Automobiles
AXISBANK,Financials,Private Bank
BAJAJFINSV,Financials,Diversified Financials
BAJAJHLDNG,Financials,Investment Holding
BAJFINANCE,Financials,Consumer Finance
BANKBARODA,Financials,Public Bank
BHARTIARTL,Telecom,Telecom Services
BEL,Industrials,Defence Electronics
BHEL,Industrials,Heavy Electrical Equipment
BOSCHLTD,Consumer Discretionary,Auto Components
BPCL,Energy,Oil and Gas Refining
BRITANNIA,Consumer Staples,Packaged Foods
CIPLA,Healthcare,Pharmaceuticals
COALINDIA,Energy,Coal
COLPAL,Consumer Staples,Personal Care
DABUR,Consumer Staples,Personal Care
DIVISLAB,Healthcare,Pharmaceuticals
DLF,Real Estate,Real Estate Development
DRREDDY,Healthcare,Pharmaceuticals
EICHERMOT,Consumer Discretionary,Automobiles
GRASIM,Materials,Diversified Materials
HCLTECH,Information Technology,IT Services
HDFCBANK,Financials,Private Bank
HDFCLIFE,Financials,Life Insurance
HEROMOTOCO,Consumer Discretionary,Automobiles
HINDALCO,Materials,Metals
HINDUNILVR,Consumer Staples,Household Products
ICICIBANK,Financials,Private Bank
ICICIGI,Financials,General Insurance
ICICIPRULI,Financials,Life Insurance
INDUSINDBK,Financials,Private Bank
INDIGO,Consumer Discretionary,Airlines
INFY,Information Technology,IT Services
IOC,Energy,Oil and Gas Refining
ITC,Consumer Staples,Tobacco and Consumer Products
JINDALSTEL,Materials,Steel
JSWSTEEL,Materials,Steel
KOTAKBANK,Financials,Private Bank
LT,Industrials,Engineering and Construction
LTIM,Information Technology,IT Services
M&M,Consumer Discretionary,Automobiles
MARUTI,Consumer Discretionary,Automobiles
NESTLEIND,Consumer Staples,Packaged Foods
NTPC,Energy,Power
ONGC,Energy,Oil and Gas Exploration
PIDILITIND,Materials,Specialty Chemicals
POWERGRID,Utilities,Power Transmission
RELIANCE,Energy,Integrated Oil and Gas
SBILIFE,Financials,Life Insurance
SBIN,Financials,Public Bank
SHREECEM,Materials,Cement
SIEMENS,Industrials,Electrical Equipment
SUNPHARMA,Healthcare,Pharmaceuticals
TATACONSUM,Consumer Staples,Packaged Foods
TATAMOTORS,Consumer Discretionary,Automobiles
TATAPOWER,Energy,Power
TATASTEEL,Materials,Steel
TCS,Information Technology,IT Services
TECHM,Information Technology,IT Services
TITAN,Consumer Discretionary,Consumer Products
TORNTPHARM,Healthcare,Pharmaceuticals
TRENT,Consumer Discretionary,Retail
ULTRACEMCO,Materials,Cement
UPL,Materials,Agrochemicals
VEDL,Materials,Diversified Metals
WIPRO,Information Technology,IT Services
ZOMATO,Consumer Discretionary,Online Food Delivery
CANBK,Financials,Public Bank
CHOLAFIN,Financials,Consumer Finance
DMART,Consumer Discretionary,Retail
GAIL,Energy,Gas Transmission
GODREJCP,Consumer Staples,Personal Care
HAL,Industrials,Aerospace and Defence
HAVELLS,Consumer Discretionary,Consumer Electricals
IRCTC,Consumer Discretionary,Travel Services
IRFC,Financials,Specialized Finance
JIOFIN,Financials,Diversified Financials
JSWENERGY,Energy,Power
LICI,Financials,Life Insurance
LODHA,Real Estate,Real Estate Development
MOTHERSON,Consumer Discretionary,Auto Components
NAUKRI,Consumer Discretionary,Internet Services
NHPC,Energy,Hydropower
PFC,Financials,Specialized Finance
PNB,Financials,Public Bank
RECLTD,Financials,Specialized Finance
SHRIRAMFIN,Financials,Consumer Finance
TVSMOTOR,Consumer Discretionary,Automobiles
UNIONBANK,Financials,Public Bank
