company_id,revenue_cagr_5yr,revenue_flag,pat_cagr_5yr,pat_flag,eps_cagr_5yr,eps_flag
ABB,8.19,OK,16.73,OK,16.74,OK
ADANIENSOL,14.12,OK,-3.56,OK,-3.04,OK
ADANIENT,18.71,OK,42.38,OK,37.42,OK
ADANIGREEN,33.43,OK,,TURNAROUND,,ZERO_BASE
ADANIPORTS,6.41,OK,12.57,OK,12.47,OK
ADANIPOWER,15.6,OK,,TURNAROUND,,TURNAROUND
AMBUJACEM,3.92,OK,6.82,OK,3.4,OK
APOLLOHOSP,12.72,OK,23.16,OK,19.97,OK
ASIANPAINT,11.5,OK,10.79,OK,11.38,OK
ATGL,20.81,OK,8.91,OK,8.45,OK
AXISBANK,14.01,OK,74.58,OK,69.92,OK
BAJAJ-AUTO,10.32,OK,7.18,OK,7.88,OK
BAJAJFINSV,18.36,OK,22.48,OK,20.34,OK
BAJAJHLDNG,31.84,OK,19.44,OK,19.88,OK
BAJFINANCE,18.75,OK,23.93,OK,23.31,OK
BANKBARODA,9.49,OK,83.02,OK,81.14,OK
BEL,10.72,OK,20.0,OK,14.87,OK
BHARTIARTL,12.17,OK,,TURNAROUND,,TURNAROUND
BHEL,3.78,OK,,TURNAROUND,,TURNAROUND
BOSCHLTD,11.75,OK,26.24,OK,26.3,OK
BPCL,9.38,OK,30.23,OK,35.52,OK
BRITANNIA,8.25,OK,8.84,OK,8.94,OK
CANBK,19.13,OK,,TURNAROUND,,TURNAROUND
CHOLAFIN,20.9,OK,29.59,OK,28.75,OK
CIPLA,9.51,OK,27.16,OK,26.69,OK
COALINDIA,7.87,OK,15.52,OK,15.71,OK
DABUR,7.46,OK,3.98,OK,4.56,OK
DIVISLAB,9.81,OK,5.92,OK,5.82,OK
DLF,2.85,OK,,TURNAROUND,,TURNAROUND
DMART,18.13,OK,15.89,OK,16.0,OK
DRREDDY,12.26,OK,21.88,OK,21.67,OK
EICHERMOT,13.3,OK,18.49,OK,18.42,OK
GAIL,13.41,OK,3.94,OK,5.15,OK
GODREJCP,7.38,OK,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
GRASIM,14.97,OK,5.54,OK,0.61,OK
HAL,7.76,OK,24.41,OK,24.77,OK
HAVELLS,16.98,OK,13.75,OK,12.89,OK
HCLTECH,10.29,OK,9.09,OK,8.97,OK
HDFCBANK,21.91,OK,21.46,OK,12.72,OK
HDFCLIFE,27.96,OK,6.14,OK,5.92,OK
HEROMOTOCO,6.51,OK,2.47,OK,2.61,OK
HINDALCO,13.65,OK,27.09,OK,26.93,OK
HINDUNILVR,9.51,OK,9.75,OK,8.21,OK
ICICIBANK,16.31,OK,36.1,OK,36.08,OK
ICICIGI,15.13,OK,16.09,OK,14.42,OK
ICICIPRULI,29.84,OK,-1.81,OK,0.0,OK
INDIGO,16.42,OK,,TURNAROUND,,TURNAROUND
INDUSINDBK,11.23,OK,12.95,OK,10.2,OK
