company_id,year,cfo_sign,cfi_sign,cff_sign,capital_allocation_label
ABB,,+,-,-,Reinvestor
ADANIENSOL,,+,-,-,Reinvestor
ADANIENT,,+,-,+,Mixed
ADANIGREEN,,+,-,+,Mixed
ADANIPORTS,,+,-,-,Reinvestor
ADANIPOWER,,+,+,-,Liquidating Assets
AMBUJACEM,,+,-,+,Mixed
APOLLOHOSP,,+,-,-,Reinvestor
ASIANPAINT,,+,-,-,Reinvestor
ATGL,,+,-,-,Reinvestor
AXISBANK,,-,-,+,Growth Funded by Debt
BAJAJ-AUTO,,+,-,-,Reinvestor
BAJAJFINSV,,-,-,+,Growth Funded by Debt
BAJAJHLDNG,,+,-,-,Reinvestor
BAJFINANCE,,-,-,+,Growth Funded by Debt
BANKBARODA,,-,-,+,Growth Funded by Debt
BEL,,+,-,-,Reinvestor
BHARTIARTL,,+,-,-,Reinvestor
BHEL,,-,+,+,Distress Signal
BOSCHLTD,,+,+,-,Liquidating Assets
BPCL,,+,-,-,Reinvestor
BRITANNIA,,+,+,-,Liquidating Assets
CANBK,,+,-,-,Reinvestor
CHOLAFIN,,-,-,+,Growth Funded by Debt
CIPLA,,+,-,-,Reinvestor
COALINDIA,,+,-,-,Reinvestor
DABUR,,+,-,-,Reinvestor
DIVISLAB,,+,-,-,Reinvestor
DLF,,+,-,+,Mixed
DMART,,+,-,-,Reinvestor
DRREDDY,,+,-,-,Reinvestor
EICHERMOT,,+,-,-,Reinvestor
GAIL,,+,-,-,Reinvestor
GODREJCP,,+,-,+,Mixed
GRASIM,,-,-,+,Growth Funded by Debt
HAL,,+,-,-,Reinvestor
HAVELLS,,+,-,-,Reinvestor
HCLTECH,,+,-,-,Reinvestor
HDFCBANK,,+,+,-,Liquidating Assets
HDFCLIFE,,+,-,-,Reinvestor
HEROMOTOCO,,+,-,-,Reinvestor
HINDALCO,,+,-,-,Reinvestor
HINDUNILVR,,+,-,-,Reinvestor
ICICIBANK,,+,-,+,Mixed
ICICIGI,,+,-,-,Reinvestor
ICICIPRULI,,-,+,-,Mixed
INDIGO,,+,-,-,Reinvestor
INDUSINDBK,,-,-,-,Pre-Revenue
INFY,,+,-,-,Reinvestor
IOC,,+,-,-,Reinvestor
IRCTC,,+,-,-,Reinvestor
IRFC,,+,-,-,Reinvestor
ITC,,+,+,-,Liquidating Assets
JINDALSTEL,,+,-,+,Mixed
JIOFIN,,-,+,-,Mixed
JSWENERGY,,+,-,+,Mixed
JSWSTEEL,,+,-,-,Reinvestor
KOTAKBANK,,+,-,+,Mixed
LICI,,+,-,-,Reinvestor
LODHA,,+,-,+,Mixed
LT,,+,+,-,Liquidating Assets
LTIM,,+,-,-,Reinvestor
M&M,,-,-,+,Growth Funded by Debt
MARUTI,,+,-,-,Reinvestor
MOTHERSON,,+,-,+,Mixed
NAUKRI,,+,-,+,Mixed
NESTLEIND,,+,-,-,Reinvestor
NHPC,,+,-,-,Reinvestor
NTPC,,+,-,-,Reinvestor
ONGC,,+,-,-,Reinvestor
PFC,,-,-,+,Growth Funded by Debt
PIDILITIND,,+,-,-,Reinvestor
PNB,,-,-,+,Growth Funded by Debt
POWERGRID,,+,-,-,Reinvestor
RECLTD,,-,-,+,Growth Funded by Debt
RELIANCE,,+,-,-,Reinvestor
SBILIFE,,+,-,-,Reinvestor
SBIN,,+,-,-,Reinvestor
SHREECEM,,+,-,-,Reinvestor
SHRIRAMFIN,,-,-,+,Growth Funded by Debt
SIEMENS,,+,-,-,Reinvestor
SUNPHARMA,,+,-,-,Reinvestor
TATACONSUM,,+,-,+,Mixed
TATAMOTORS,,+,-,-,Reinvestor
TATAPOWER,,+,-,-,Reinvestor
TATASTEEL,,+,-,-,Reinvestor
TCS,,+,+,-,Liquidating Assets
TECHM,,+,-,-,Reinvestor
TITAN,,+,-,-,Reinvestor
TORNTPHARM,,+,-,-,Reinvestor
TRENT,,+,-,-,Reinvestor
TVSMOTOR,,-,-,+,Growth Funded by Debt
ULTRACEMCO,,+,-,-,Reinvestor
UNIONBANK,,+,-,-,Reinvestor
