company_id,Cash Accumulator,Distress Signal,Growth Funded by Debt,Liquidating Assets,Mixed,Pre-Revenue,Reinvestor
ABB,1,0,1,0,4,0,6
ADANIENSOL,1,0,1,0,4,0,5
ADANIENT,0,0,0,1,7,0,4
ADANIGREEN,0,0,0,0,7,0,1
ADANIPORTS,0,0,0,0,5,0,7
ADANIPOWER,0,0,0,3,2,0,7
AMBUJACEM,0,0,0,0,2,0,10
APOLLOHOSP,0,0,0,0,4,0,8
ASIANPAINT,0,0,0,0,0,0,12
ATGL,0,0,0,1,4,0,2
AXISBANK,0,1,3,0,7,0,1
BAJAJ-AUTO,0,0,0,3,0,0,9
BAJAJFINSV,0,5,6,0,1,0,0
BAJAJHLDNG,0,0,0,1,0,1,10
BAJFINANCE,0,2,8,0,0,0,0
BANKBARODA,0,0,3,0,2,3,4
BEL,0,0,0,1,3,1,7
BHARTIARTL,0,0,0,0,4,0,8
BHEL,0,3,0,3,3,0,3
BOSCHLTD,0,0,0,4,0,0,8
BPCL,0,0,0,0,3,0,9
BRITANNIA,0,0,0,4,1,0,7
CANBK,0,0,3,0,3,0,6
CHOLAFIN,0,2,10,0,0,0,0
CIPLA,0,0,0,1,3,0,8
COALINDIA,0,0,0,6,0,0,6
DABUR,0,0,0,1,0,0,11
DIVISLAB,0,0,0,1,1,0,10
DLF,1,1,0,6,1,0,3
DMART,0,0,0,1,7,0,4
DRREDDY,0,0,0,0,0,0,12
EICHERMOT,0,0,0,0,1,0,11
GAIL,0,0,0,0,3,0,9
GODREJCP,0,0,0,1,3,0,8
GRASIM,0,1,3,0,1,0,7
HAL,0,1,0,0,3,0,4
HAVELLS,0,0,0,2,1,0,9
HCLTECH,0,0,0,1,0,0,11
HDFCBANK,0,0,6,1,3,0,2
HDFCLIFE,0,0,0,0,3,0,7
HEROMOTOCO,0,0,0,2,0,0,9
HINDALCO,0,0,0,1,3,0,8
HINDUNILVR,0,0,0,3,0,0,9
ICICIBANK,0,0,2,0,7,0,3
ICICIGI,0,0,0,1,4,0,7
ICICIPRULI,0,0,0,1,4,0,7
INDIGO,0,0,0,1,4,0,7
INDUSINDBK,0,1,7,0,0,1,3
INFY,0,0,0,2,0,0,10
IOC,0,0,0,0,3,0,9
IRCTC,0,0,0,4,0,0,6
IRFC,0,7,1,0,0,0,1
ITC,0,0,0,2,0,0,10
JINDALSTEL,0,0,0,0,4,0,8
JIOFIN,0,0,0,0,1,0,1
JSWENERGY,0,0,0,1,2,0,9
JSWSTEEL,0,0,0,0,3,0,9
KOTAKBANK,0,0,2,0,7,0,3
LICI,0,1,0,2,0,0,3
LODHA,0,0,1,4,3,0,1
LT,0,1,5,1,2,0,3
LTIM,0,0,0,1,0,0,11
M&M,0,0,6,0,5,0,1
MARUTI,0,0,0,0,0,0,12
MOTHERSON,0,0,0,0,3,0,9
NAUKRI,0,0,0,1,6,0,5
NESTLEIND,0,0,0,1,0,0,11
NHPC,0,0,0,0,1,0,11
NTPC,0,0,0,0,5,0,7
ONGC,0,0,0,0,2,0,10
PFC,0,4,6,0,1,0,1
PIDILITIND,0,0,0,2,1,0,9
PNB,0,1,3,1,6,1,0
POWERGRID,0,0,0,1,6,0,5
RECLTD,0,7,4,0,0,0,1
RELIANCE,0,0,0,0,8,0,4
SBILIFE,0,0,0,0,1,0,11
SBIN,1,1,1,0,4,0,5
SHREECEM,0,0,0,0,2,0,10
SHRIRAMFIN,0,2,10,0,0,0,0
SIEMENS,0,0,0,6,0,0,6
SUNPHARMA,0,0,0,1,2,0,9
TATACONSUM,1,0,0,3,1,0,7
TATAMOTORS,0,0,0,0,6,0,6
TATAPOWER,0,0,0,1,2,0,9
TATASTEEL,0,0,0,0,2,0,10
TCS,0,0,0,5,0,0,7
TECHM,0,0,0,3,1,0,8
TITAN,0,0,1,0,4,0,7
TORNTPHARM,0,0,0,1,5,0,6
TRENT,0,0,1,2,3,1,5
TVSMOTOR,0,0,4,0,4,0,4
ULTRACEMCO,0,0,0,3,1,0,8
UNIONBANK,0,0,5,0,2,0,5
UNITDSPR,0,0,1,3,1,0,7
VBL,0,0,0,0,7,0,5
VEDL,0,0,0,2,1,0,9
WIPRO,0,0,0,5,1,0,6
ZOMATO,0,1,2,0,1,0,1
ZYDUSLIFE,0,0,0,1,4,0,7
