company_id,dominant_capital_allocation
ABB,Reinvestor
ADANIENSOL,Reinvestor
ADANIENT,Mixed
ADANIGREEN,Mixed
ADANIPORTS,Reinvestor
ADANIPOWER,Reinvestor
AMBUJACEM,Reinvestor
APOLLOHOSP,Reinvestor
ASIANPAINT,Reinvestor
ATGL,Mixed
AXISBANK,Mixed
BAJAJ-AUTO,Reinvestor
BAJAJFINSV,Growth Funded by Debt
BAJAJHLDNG,Reinvestor
BAJFINANCE,Growth Funded by Debt
BANKBARODA,Reinvestor
BEL,Reinvestor
BHARTIARTL,Reinvestor
BHEL,Mixed
BOSCHLTD,Reinvestor
BPCL,Reinvestor
BRITANNIA,Reinvestor
CANBK,Reinvestor
CHOLAFIN,Growth Funded by Debt
CIPLA,Reinvestor
COALINDIA,Reinvestor
DABUR,Reinvestor
DIVISLAB,Reinvestor
DLF,Liquidating Assets
DMART,Mixed
DRREDDY,Reinvestor
EICHERMOT,Reinvestor
GAIL,Reinvestor
GODREJCP,Reinvestor
GRASIM,Reinvestor
HAL,Reinvestor
HAVELLS,Reinvestor
HCLTECH,Reinvestor
HDFCBANK,Growth Funded by Debt
HDFCLIFE,Reinvestor
HEROMOTOCO,Reinvestor
HINDALCO,Reinvestor
HINDUNILVR,Reinvestor
ICICIBANK,Mixed
ICICIGI,Reinvestor
ICICIPRULI,Reinvestor
INDIGO,Reinvestor
INDUSINDBK,Growth Funded by Debt
INFY,Reinvestor
IOC,Reinvestor
IRCTC,Reinvestor
IRFC,Distress Signal
ITC,Reinvestor
JINDALSTEL,Reinvestor
JIOFIN,Reinvestor
JSWENERGY,Reinvestor
JSWSTEEL,Reinvestor
KOTAKBANK,Mixed
LICI,Reinvestor
LODHA,Liquidating Assets
LT,Growth Funded by Debt
LTIM,Reinvestor
M&M,Growth Funded by Debt
MARUTI,Reinvestor
MOTHERSON,Reinvestor
NAUKRI,Mixed
NESTLEIND,Reinvestor
NHPC,Reinvestor
NTPC,Reinvestor
ONGC,Reinvestor
PFC,Growth Funded by Debt
PIDILITIND,Reinvestor
PNB,Mixed
POWERGRID,Mixed
RECLTD,Distress Signal
RELIANCE,Mixed
SBILIFE,Reinvestor
SBIN,Reinvestor
SHREECEM,Reinvestor
SHRIRAMFIN,Growth Funded by Debt
SIEMENS,Liquidating Assets
SUNPHARMA,Reinvestor
TATACONSUM,Reinvestor
TATAMOTORS,Reinvestor
TATAPOWER,Reinvestor
TATASTEEL,Reinvestor
TCS,Reinvestor
TECHM,Reinvestor
TITAN,Reinvestor
TORNTPHARM,Reinvestor
TRENT,Reinvestor
TVSMOTOR,Reinvestor
ULTRACEMCO,Reinvestor
UNIONBANK,Growth Funded by Debt
UNITDSPR,Reinvestor
VBL,Mixed
VEDL,Reinvestor
WIPRO,Reinvestor
ZOMATO,Growth Funded by Debt
ZYDUSLIFE,Reinvestor
