company_id,reinvestor_years,total_years,reinvestor_pct
ABB,6,12,50.0
ADANIENSOL,5,11,45.45
ADANIENT,4,12,33.33
ADANIGREEN,1,8,12.5
ADANIPORTS,7,12,58.33
ADANIPOWER,7,12,58.33
AMBUJACEM,10,12,83.33
APOLLOHOSP,8,12,66.67
ASIANPAINT,12,12,100.0
ATGL,2,7,28.57
AXISBANK,1,12,8.33
BAJAJ-AUTO,9,12,75.0
BAJAJFINSV,0,12,0.0
BAJAJHLDNG,10,12,83.33
BAJFINANCE,0,10,0.0
BANKBARODA,4,12,33.33
BEL,7,12,58.33
BHARTIARTL,8,12,66.67
BHEL,3,12,25.0
BOSCHLTD,8,12,66.67
BPCL,9,12,75.0
BRITANNIA,7,12,58.33
CANBK,6,12,50.0
CHOLAFIN,0,12,0.0
CIPLA,8,12,66.67
COALINDIA,6,12,50.0
DABUR,11,12,91.67
DIVISLAB,10,12,83.33
DLF,3,12,25.0
DMART,4,12,33.33
DRREDDY,12,12,100.0
EICHERMOT,11,12,91.67
GAIL,9,12,75.0
GODREJCP,8,12,66.67
GRASIM,7,12,58.33
HAL,4,8,50.0
HAVELLS,9,12,75.0
HCLTECH,11,12,91.67
HDFCBANK,2,12,16.67
HDFCLIFE,7,10,70.0
HEROMOTOCO,9,11,81.82
HINDALCO,8,12,66.67
HINDUNILVR,9,12,75.0
ICICIBANK,3,12,25.0
ICICIGI,7,12,58.33
ICICIPRULI,7,12,58.33
INDIGO,7,12,58.33
INDUSINDBK,3,12,25.0
INFY,10,12,83.33
IOC,9,12,75.0
IRCTC,6,10,60.0
IRFC,1,9,11.11
ITC,10,12,83.33
JINDALSTEL,8,12,66.67
JIOFIN,1,2,50.0
JSWENERGY,9,12,75.0
JSWSTEEL,9,12,75.0
KOTAKBANK,3,12,25.0
LICI,3,6,50.0
LODHA,1,9,11.11
LT,3,12,25.0
LTIM,11,12,91.67
M&M,1,12,8.33
MARUTI,12,12,100.0
MOTHERSON,9,12,75.0
NAUKRI,5,12,41.67
NESTLEIND,11,12,91.67
NHPC,11,12,91.67
NTPC,7,12,58.33
ONGC,10,12,83.33
PFC,1,12,8.33
PIDILITIND,9,12,75.0
PNB,0,12,0.0
POWERGRID,5,12,41.67
RECLTD,1,12,8.33
RELIANCE,4,12,33.33
SBILIFE,11,12,91.67
SBIN,5,12,41.67
SHREECEM,10,12,83.33
SHRIRAMFIN,0,12,0.0
SIEMENS,6,12,50.0
SUNPHARMA,9,12,75.0
TATACONSUM,7,12,58.33
TATAMOTORS,6,12,50.0
TATAPOWER,9,12,75.0
TATASTEEL,10,12,83.33
TCS,7,12,58.33
TECHM,8,12,66.67
TITAN,7,12,58.33
TORNTPHARM,6,12,50.0
TRENT,5,12,41.67
TVSMOTOR,4,12,33.33
ULTRACEMCO,8,12,66.67
UNIONBANK,5,12,41.67
UNITDSPR,7,12,58.33
VBL,5,12,41.67
VEDL,9,12,75.0
WIPRO,6,12,50.0
ZOMATO,1,5,20.0
ZYDUSLIFE,7,12,58.33
