id_x,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow,id_y,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,free_cash_flow,cfo_quality,capex_pct,capex_label,fcf_conversion,cfo_sign,cfi_sign,cff_sign,pattern_label
61,ABB,Dec 2012,101.0,-59.0,-42.0,1.0,61,1653,1451,202.0,12.0,33,0,19,215,33.0,145,68.0,25.0,42.0,Moderate,3.569267997580157,Moderate,20.792079207920793,+,-,-,Reinvestor
62,ABB,Mar 2014,155.0,-144.0,-42.0,-31.0,62,2276,2009,267.0,12.0,49,0,22,295,33.0,198,93.0,25.0,11.0,Moderate,6.32688927943761,Moderate,4.119850187265917,+,-,-,Reinvestor
63,ABB,Mar 2015,215.0,-187.0,-58.0,-30.0,63,2289,1977,312.0,14.0,48,0,15,344,34.0,229,108.0,29.0,28.0,Moderate,8.169506334643948,Capital Intensive,8.974358974358974,+,-,-,Reinvestor
64,ABB,Mar 2016,249.0,-77.0,-80.0,91.0,64,2614,2250,365.0,14.0,50,3,14,398,36.0,255,120.0,29.0,172.0,Moderate,2.9456771231828616,Asset Light,47.12328767123288,+,-,-,Reinvestor
65,ABB,Mar 2017,307.0,-155.0,-90.0,62.0,65,2903,2505,398.0,14.0,57,2,16,436,37.0,277,130.0,31.0,152.0,High Quality,5.339304168101963,Moderate,38.19095477386934,+,-,-,Reinvestor
66,ABB,Mar 2018,153.0,-215.0,-102.0,-165.0,66,3298,2774,525.0,16.0,117,4,16,621,35.0,401,189.0,29.0,-62.0,Accrual Risk,6.519102486355368,Moderate,-11.80952380952381,+,-,-,Reinvestor
67,ABB,Mar 2019,499.0,-257.0,-143.0,99.0,67,3679,3074,605.0,16.0,113,2,17,699,36.0,450,212.0,31.0,242.0,High Quality,6.985593911388964,Moderate,40.0,+,-,-,Reinvestor
68,ABB,Mar 2020,626.0,-401.0,-217.0,8.0,68,4093,3336,757.0,18.0,114,9,60,803,26.0,593,279.0,90.0,225.0,High Quality,9.79721475690203,Capital Intensive,29.722589167767506,+,-,-,Reinvestor
69,ABB,Mar 2021,727.0,-72.0,-582.0,73.0,69,4310,3388,922.0,21.0,81,18,58,926,25.0,691,325.0,85.0,655.0,High Quality,1.6705336426914155,Asset Light,71.04121475054231,+,-,-,Reinvestor
70,ABB,Mar 2022,948.0,-396.0,-637.0,-86.0,70,4913,3832,1082.0,22.0,83,19,66,1080,26.0,799,376.0,73.0,552.0,High Quality,8.0602483207816,Capital Intensive,51.01663585951941,+,-,-,Reinvestor
71,ABB,Mar 2023,893.0,-148.0,-639.0,107.0,71,5349,4143,1206.0,23.0,154,16,70,1274,25.0,949,447.0,73.0,745.0,Moderate,2.766872312581791,Asset Light,61.77446102819238,+,-,-,Reinvestor
72,ABB,Mar 2024,1213.0,-416.0,-745.0,52.0,72,5849,4396,1453.0,25.0,248,12,71,1618,26.0,1201,565.0,73.0,797.0,High Quality,7.112326893486067,Moderate,54.852030282174816,+,-,-,Reinvestor
73,ABB,Mar 2014,0.0,0.0,0.0,0.0,62,2276,2009,267.0,12.0,49,0,22,295,33.0,198,93.0,25.0,0.0,Accrual Risk,0.0,Asset Light,0.0,+,+,+,Cash Accumulator
74,ABB,Mar 2015,-35.0,-1864.0,1902.0,3.0,63,2289,1977,312.0,14.0,48,0,15,344,34.0,229,108.0,29.0,-1899.0,Accrual Risk,81.43294014853649,Capital Intensive,-608.6538461538462,-,-,+,Growth Funded by Debt
75,ABB,Mar 2016,1544.0,-816.0,-722.0,6.0,64,2614,2250,365.0,14.0,50,3,14,398,36.0,255,120.0,29.0,728.0,High Quality,31.216526396327467,Capital Intensive,199.45205479452056,+,-,-,Reinvestor
76,ABB,Mar 2017,2189.0,-1730.0,-455.0,4.0,65,2903,2505,398.0,14.0,57,2,16,436,37.0,277,130.0,31.0,459.0,High Quality,59.59352394075095,Capital Intensive,115.32663316582914,+,-,-,Reinvestor
77,ABB,Mar 2018,2198.0,-3192.0,1589.0,596.0,66,3298,2774,525.0,16.0,117,4,16,621,35.0,401,189.0,29.0,-994.0,High Quality,96.78593086719223,Capital Intensive,-189.33333333333334,+,-,+,Mixed
78,ABB,Mar 2019,2591.0,-3050.0,38.0,-421.0,67,3679,3074,605.0,16.0,113,2,17,699,36.0,450,212.0,31.0,-459.0,High Quality,82.90296276162,Capital Intensive,-75.86776859504131,+,-,+,Mixed
79,ABB,Mar 2020,5437.0,-5643.0,1250.0,1045.0,68,4093,3336,757.0,18.0,114,9,60,803,26.0,593,279.0,90.0,-206.0,High Quality,137.86953334962132,Capital Intensive,-27.212681638044916,+,-,+,Mixed
80,ABB,Mar 2021,3784.0,-4009.0,-745.0,-969.0,69,4310,3388,922.0,21.0,81,18,58,926,25.0,691,325.0,85.0,-225.0,High Quality,93.01624129930394,Capital Intensive,-24.40347071583514,+,-,-,Reinvestor
81,ABB,Mar 2022,4097.0,-3936.0,-235.0,-75.0,70,4913,3832,1082.0,22.0,83,19,66,1080,26.0,799,376.0,73.0,161.0,High Quality,80.11398330958681,Capital Intensive,14.87985212569316,+,-,-,Reinvestor
82,ABB,Mar 2023,3777.0,-4699.0,923.0,2.0,71,5349,4143,1206.0,23.0,154,16,70,1274,25.0,949,447.0,73.0,-922.0,High Quality,87.84819592447187,Capital Intensive,-76.45107794361525,+,-,+,Mixed
83,ABB,Mar 2024,6038.0,-4943.0,-543.0,551.0,72,5849,4396,1453.0,25.0,248,12,71,1618,26.0,1201,565.0,73.0,1095.0,High Quality,84.51017267909045,Capital Intensive,75.36132140399174,+,-,-,Reinvestor
84,ADANIENSOL,Mar 2014,0.0,0.0,0.0,0.0,86,0,0,0.0,,0,0,0,0,0.0,0,0.0,,0.0,,,,,+,+,+,Cash Accumulator
85,ADANIENSOL,Mar 2015,-35.0,-1864.0,1902.0,3.0,87,131,29,101.0,78.0,3,73,37,-5,34.0,-7,0.0,0.0,-1899.0,High Quality,1422.9007633587787,Capital Intensive,-1880.19801980198,-,-,+,Growth Funded by Debt
86,ADANIENSOL,Mar 2016,1544.0,-816.0,-722.0,6.0,88,2194,267,1927.0,88.0,70,957,560,480,23.0,368,3.0,0.0,728.0,High Quality,37.192342752962624,Capital Intensive,37.77893098079917,+,-,-,Reinvestor
87,ADANIENSOL,Mar 2017,2189.0,-1730.0,-455.0,4.0,89,2876,893,1983.0,69.0,22,904,569,532,22.0,416,4.0,0.0,459.0,High Quality,60.15299026425591,Capital Intensive,23.14674735249622,+,-,-,Reinvestor
88,ADANIENSOL,Mar 2018,2198.0,-3192.0,1589.0,596.0,90,3944,1118,2826.0,72.0,111,886,579,1472,22.0,1143,10.0,0.0,-994.0,High Quality,80.93306288032454,Capital Intensive,-35.17338995046001,+,-,+,Mixed
89,ADANIENSOL,Mar 2019,2591.0,-3050.0,38.0,-421.0,91,7305,4528,2778.0,38.0,336,1391,882,840,33.0,559,5.0,0.0,-459.0,High Quality,41.752224503764545,Capital Intensive,-16.52267818574514,+,-,+,Mixed
90,ADANIENSOL,Mar 2020,5437.0,-5643.0,1250.0,1045.0,92,11416,7158,4258.0,37.0,261,2238,1174,1107,36.0,706,7.0,0.0,-206.0,High Quality,49.43062368605466,Capital Intensive,-4.837952090183185,+,-,+,Mixed
91,ADANIENSOL,Mar 2021,3784.0,-4009.0,-745.0,-969.0,93,9926,5976,3950.0,40.0,1115,2117,1329,1620,20.0,1290,11.0,0.0,-225.0,High Quality,40.38887769494258,Capital Intensive,-5.69620253164557,+,-,-,Reinvestor
92,ADANIENSOL,Mar 2022,4097.0,-3936.0,-235.0,-75.0,94,11258,7051,4206.0,37.0,1286,2365,1427,1700,27.0,1236,11.0,0.0,161.0,High Quality,34.96180493871025,Capital Intensive,3.8278649548264383,+,-,-,Reinvestor
93,ADANIENSOL,Mar 2023,3777.0,-4699.0,923.0,2.0,95,13293,8775,4518.0,34.0,1583,2781,1608,1712,25.0,1281,11.0,0.0,-922.0,High Quality,35.34943203189649,Capital Intensive,-20.407259849490924,+,-,+,Mixed
94,ADANIENSOL,Mar 2024,6038.0,-4943.0,-543.0,551.0,96,16607,10896,5711.0,30.0,611,2767,1776,1780,33.0,1196,10.0,0.0,1095.0,High Quality,29.764557114469802,Capital Intensive,19.17352477674663,+,-,-,Reinvestor
95,ADANIENT,Mar 2013,7666.0,-14790.0,7199.0,75.0,98,46375,40354,6021.0,13.0,1775,3492,2298,2005,39.0,1218,15.0,10.0,-7124.0,High Quality,31.892183288409704,Capital Intensive,-118.31921607706361,+,-,+,Mixed
96,ADANIENT,Mar 2014,8228.0,-8007.0,-1109.0,-888.0,99,54947,45564,9383.0,17.0,1157,5703,3223,1614,-64.0,2646,20.0,7.0,221.0,High Quality,14.572224143265327,Capital Intensive,2.3553234573164232,+,-,-,Reinvestor
97,ADANIENT,Mar 2015,8532.0,-11465.0,3445.0,512.0,100,64465,52015,12450.0,19.0,792,7056,3522,2663,14.0,2298,18.0,8.0,-2933.0,High Quality,17.784844489257736,Capital Intensive,-23.55823293172691,+,-,+,Mixed
98,ADANIENT,Mar 2016,5112.0,-1825.0,-3448.0,-161.0,101,34008,32325,1684.0,5.0,1044,1357,314,1056,7.0,1000,9.0,4.0,3287.0,High Quality,5.366384380145848,Moderate,195.19002375296913,+,-,-,Reinvestor
99,ADANIENT,Mar 2017,774.0,-1460.0,716.0,30.0,102,36533,34631,1902.0,5.0,749,1257,315,1079,25.0,925,9.0,4.0,-686.0,Moderate,3.996386828346974,Moderate,-36.067297581493165,+,-,+,Mixed
100,ADANIENT,Mar 2018,2942.0,-7649.0,5120.0,413.0,103,35924,33886,2038.0,6.0,363,1250,664,487,23.0,594,7.0,6.0,-4707.0,High Quality,21.2921723638793,Capital Intensive,-230.96172718351323,+,-,+,Mixed
101,ADANIENT,Mar 2019,3236.0,2487.0,-6158.0,-436.0,104,40379,38409,1969.0,5.0,504,1625,390,459,32.0,506,7.0,6.0,5723.0,High Quality,6.159142128334035,Moderate,290.655154900965,+,+,-,Liquidating Assets
102,ADANIENT,Mar 2020,2454.0,-1082.0,-221.0,1151.0,105,43403,41108,2294.0,5.0,872,1572,472,1122,29.0,1040,10.0,10.0,1372.0,High Quality,2.4929152362739906,Asset Light,59.80819529206626,+,-,-,Reinvestor
103,ADANIENT,Mar 2021,4043.0,-8611.0,3109.0,-1459.0,106,39537,37031,2506.0,6.0,494,1377,537,1086,31.0,1046,8.0,12.0,-4568.0,High Quality,21.77959885676708,Capital Intensive,-182.28252194732642,+,-,+,Mixed
104,ADANIENT,Mar 2022,1385.0,-17041.0,15901.0,246.0,107,69420,65707,3714.0,5.0,1012,2526,1248,952,50.0,788,7.0,14.0,-15656.0,High Quality,24.54768078363584,Capital Intensive,-421.5401184706516,+,-,+,Mixed
105,ADANIENT,Mar 2023,17626.0,-15459.0,-1198.0,970.0,108,127540,118722,8818.0,7.0,834,3969,2436,3247,32.0,2422,22.0,6.0,2167.0,High Quality,12.120903246040458,Capital Intensive,24.574733499659786,+,-,-,Reinvestor
106,ADANIENT,Mar 2024,10312.0,-18767.0,8879.0,424.0,109,96421,85044,11377.0,12.0,1146,4555,3042,4926,33.0,3335,28.0,5.0,-8455.0,High Quality,19.463602327293845,Capital Intensive,-74.31660367407929,+,-,+,Mixed
107,ADANIGREEN,Mar 2017,28.0,-1511.0,1559.0,76.0,111,502,98,403.0,80.0,80,334,333,-184,-75.0,-47,0.0,0.0,-1483.0,Accrual Risk,300.996015936255,Capital Intensive,-367.99007444168734,+,-,+,Mixed
108,ADANIGREEN,Mar 2018,649.0,-4428.0,3942.0,162.0,112,1480,637,843.0,57.0,42,552,543,-210,-35.0,-138,-1.0,0.0,-3779.0,Accrual Risk,299.18918918918916,Capital Intensive,-448.2799525504152,+,-,+,Mixed
109,ADANIGREEN,Mar 2019,1625.0,-2666.0,1045.0,3.0,113,2058,532,1526.0,74.0,73,1121,1062,-585,-19.0,-475,-3.0,0.0,-1041.0,Accrual Risk,129.54324586977648,Capital Intensive,-68.2175622542595,+,-,+,Mixed
110,ADANIGREEN,Mar 2020,1965.0,-3743.0,2161.0,383.0,114,2549,1098,1450.0,57.0,-111,995,394,-50,23.0,-68,0.0,0.0,-1778.0,Accrual Risk,146.8418987838368,Capital Intensive,-122.62068965517241,+,-,+,Mixed
111,ADANIGREEN,Mar 2021,1601.0,-9137.0,7083.0,-453.0,115,3124,883,2241.0,72.0,391,1953,486,193,6.0,182,1.0,0.0,-7536.0,High Quality,292.4775928297055,Capital Intensive,-336.27844712182065,+,-,+,Mixed
112,ADANIGREEN,Mar 2022,3127.0,-18730.0,15986.0,383.0,116,5133,1621,3512.0,68.0,507,2617,849,553,12.0,489,3.0,0.0,-15603.0,High Quality,364.89382427430354,Capital Intensive,-444.2767653758542,+,-,+,Mixed
113,ADANIGREEN,Mar 2023,7265.0,-3857.0,-2973.0,435.0,117,7776,2806,4970.0,64.0,667,2911,1300,1426,32.0,973,6.0,0.0,3408.0,High Quality,49.60133744855967,Capital Intensive,68.57142857142857,+,-,-,Reinvestor
114,ADANIGREEN,Mar 2024,7713.0,-21060.0,13953.0,606.0,118,9220,1902,7318.0,79.0,1262,5006,1903,1671,25.0,1260,7.0,0.0,-13347.0,High Quality,228.4164859002169,Capital Intensive,-182.3858977862804,+,-,+,Mixed
