company_id,cluster_id,cluster_label
ABB,1,Lower Financial Quality
ADANIENSOL,1,Lower Financial Quality
ADANIENT,0,Stable / Moderate
ADANIGREEN,0,Stable / Moderate
ADANIPORTS,1,Lower Financial Quality
ADANIPOWER,1,Lower Financial Quality
AMBUJACEM,1,Lower Financial Quality
APOLLOHOSP,1,Lower Financial Quality
ASIANPAINT,1,Lower Financial Quality
ATGL,1,Lower Financial Quality
AXISBANK,0,Stable / Moderate
BAJAJ-AUTO,1,Lower Financial Quality
BAJAJFINSV,0,Stable / Moderate
BAJAJHLDNG,2,Strong Financial Profile
BAJFINANCE,0,Stable / Moderate
BANKBARODA,0,Stable / Moderate
BEL,3,Growth & Quality
BHARTIARTL,1,Lower Financial Quality
BHEL,1,Lower Financial Quality
BOSCHLTD,1,Lower Financial Quality
BPCL,1,Lower Financial Quality
BRITANNIA,1,Lower Financial Quality
CANBK,0,Stable / Moderate
CHOLAFIN,0,Stable / Moderate
CIPLA,1,Lower Financial Quality
COALINDIA,1,Lower Financial Quality
DABUR,1,Lower Financial Quality
DIVISLAB,1,Lower Financial Quality
DLF,1,Lower Financial Quality
DMART,1,Lower Financial Quality
DRREDDY,1,Lower Financial Quality
EICHERMOT,1,Lower Financial Quality
GAIL,1,Lower Financial Quality
GODREJCP,1,Lower Financial Quality
GRASIM,1,Lower Financial Quality
HAL,3,Growth & Quality
HAVELLS,1,Lower Financial Quality
HCLTECH,1,Lower Financial Quality
HDFCBANK,0,Stable / Moderate
HDFCLIFE,1,Lower Financial Quality
HEROMOTOCO,1,Lower Financial Quality
HINDALCO,1,Lower Financial Quality
HINDUNILVR,1,Lower Financial Quality
ICICIBANK,0,Stable / Moderate
ICICIGI,1,Lower Financial Quality
ICICIPRULI,1,Lower Financial Quality
INDIGO,3,Growth & Quality
INDUSINDBK,0,Stable / Moderate
INFY,1,Lower Financial Quality
IOC,1,Lower Financial Quality
IRCTC,1,Lower Financial Quality
IRFC,0,Stable / Moderate
ITC,1,Lower Financial Quality
JINDALSTEL,1,Lower Financial Quality
JIOFIN,1,Lower Financial Quality
JSWENERGY,1,Lower Financial Quality
JSWSTEEL,1,Lower Financial Quality
KOTAKBANK,1,Lower Financial Quality
LICI,1,Lower Financial Quality
LODHA,1,Lower Financial Quality
LT,1,Lower Financial Quality
LTIM,1,Lower Financial Quality
M&M,0,Stable / Moderate
MARUTI,1,Lower Financial Quality
MOTHERSON,1,Lower Financial Quality
NAUKRI,1,Lower Financial Quality
NESTLEIND,1,Lower Financial Quality
NHPC,1,Lower Financial Quality
NTPC,1,Lower Financial Quality
ONGC,1,Lower Financial Quality
PFC,0,Stable / Moderate
PIDILITIND,1,Lower Financial Quality
PNB,0,Stable / Moderate
POWERGRID,1,Lower Financial Quality
RECLTD,0,Stable / Moderate
RELIANCE,1,Lower Financial Quality
SBILIFE,0,Stable / Moderate
SHREECEM,1,Lower Financial Quality
SHRIRAMFIN,0,Stable / Moderate
SIEMENS,1,Lower Financial Quality
SUNPHARMA,1,Lower Financial Quality
TATACONSUM,1,Lower Financial Quality
TATAMOTORS,1,Lower Financial Quality
TATAPOWER,1,Lower Financial Quality
TATASTEEL,1,Lower Financial Quality
TCS,1,Lower Financial Quality
TECHM,1,Lower Financial Quality
TITAN,1,Lower Financial Quality
TORNTPHARM,1,Lower Financial Quality
TRENT,0,Stable / Moderate
TVSMOTOR,0,Stable / Moderate
ULTRACEMCO,1,Lower Financial Quality
UNIONBANK,0,Stable / Moderate
