rank,company_id,total_pros,total_cons,signal_balance,signal_class,leverage_class,growth_class,cashflow_signal,overall_class,risk_level,financial_score,cashflow_score,growth_score,risk_score,signal_score,overall_score,final_score,ranking_category
1,BPCL,13,2,11,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,86.67,100,80,100,100,100,93.67,Top Tier
2,LTIM,11,4,7,Strong Positive,Low Leverage,High Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,73.33,100,100,100,100,100,93.33,Top Tier
3,HCLTECH,10,3,7,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,76.92,100,80,100,100,100,91.23,Top Tier
4,MOTHERSON,10,3,7,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,76.92,100,80,100,100,100,91.23,Top Tier
5,SUNPHARMA,13,4,9,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,76.47,100,80,100,100,100,91.12,Top Tier
6,BOSCHLTD,12,4,8,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,75.0,100,80,100,100,100,90.75,Top Tier
7,DRREDDY,12,4,8,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,75.0,100,80,100,100,100,90.75,Top Tier
8,ASIANPAINT,9,3,6,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,75.0,100,80,100,100,100,90.75,Top Tier
9,COALINDIA,11,4,7,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,73.33,100,80,100,100,100,90.33,Top Tier
10,APOLLOHOSP,10,4,6,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,71.43,100,80,100,100,100,89.86,Top Tier
11,ONGC,10,4,6,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,71.43,100,80,100,100,100,89.86,Top Tier
12,HINDALCO,12,5,7,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,Low Risk,70.59,100,80,100,100,100,89.65,Top Tier
