company_id,total_pros,total_cons,signal_balance,signal_class,leverage_class,growth_class,cashflow_signal,overall_class,recommendation_score,investment_score,recommendation,risk_level,investment_priority,recommendation_reason
LTIM,11,4,7,Strong Positive,Low Leverage,High Growth,Positive Cash Flow Signals,Strong Positive,13,100.0,BUY,Low Risk,High Priority,Strong overall investment signals; Strong financial signal balance; Low leverage; High growth; Positive cash-flow signals
BPCL,13,2,11,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,12,95.83,BUY,Low Risk,High Priority,Strong overall investment signals; Strong financial signal balance; Low leverage; Moderate growth; Positive cash-flow signals
SUNPHARMA,13,4,9,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,12,95.83,BUY,Low Risk,High Priority,Strong overall investment signals; Strong financial signal balance; Low leverage; Moderate growth; Positive cash-flow signals
BOSCHLTD,12,4,8,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,12,95.83,BUY,Low Risk,High Priority,Strong overall investment signals; Strong financial signal balance; Low leverage; Moderate growth; Positive cash-flow signals
DRREDDY,12,4,8,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,12,95.83,BUY,Low Risk,High Priority,Strong overall investment signals; Strong financial signal balance; Low leverage; Moderate growth; Positive cash-flow signals
HINDALCO,12,5,7,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,12,95.83,BUY,Low Risk,High Priority,Strong overall investment signals; Strong financial signal balance; Low leverage; Moderate growth; Positive cash-flow signals
COALINDIA,11,4,7,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,12,95.83,BUY,Low Risk,High Priority,Strong overall investment signals; Strong financial signal balance; Low leverage; Moderate growth; Positive cash-flow signals
HCLTECH,10,3,7,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,12,95.83,BUY,Low Risk,High Priority,Strong overall investment signals; Strong financial signal balance; Low leverage; Moderate growth; Positive cash-flow signals
MOTHERSON,10,3,7,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,12,95.83,BUY,Low Risk,High Priority,Strong overall investment signals; Strong financial signal balance; Low leverage; Moderate growth; Positive cash-flow signals
MARUTI,11,5,6,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,12,95.83,BUY,Low Risk,High Priority,Strong overall investment signals; Strong financial signal balance; Low leverage; Moderate growth; Positive cash-flow signals
TATACONSUM,11,5,6,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,12,95.83,BUY,Low Risk,High Priority,Strong overall investment signals; Strong financial signal balance; Low leverage; Moderate growth; Positive cash-flow signals
TORNTPHARM,11,5,6,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Strong Positive,12,95.83,BUY,Low Risk,High Priority,Strong overall investment signals; Strong financial signal balance; Low leverage; Moderate growth; Positive cash-flow signals
