company_id,metric_type,raw_text,reason
SBILIFE,compounded_sales_growth,TTM:            43%,No Year-based regex match
SBILIFE,compounded_profit_growth,TTM:                 18%,No Year-based regex match
SBILIFE,roe,Last Year:      12%,No Year-based regex match
TCS,compounded_sales_growth,TTM:            5%,No Year-based regex match
TCS,compounded_profit_growth,TTM:                 8%,No Year-based regex match
TCS,roe,Last Year:       52%,No Year-based regex match
WIPRO,compounded_sales_growth,TTM:           -3%,No Year-based regex match
WIPRO,compounded_profit_growth,TTM:                 1%,No Year-based regex match
WIPRO,roe,Last Year:       14%,No Year-based regex match
HDFCBANK,compounded_sales_growth,TTM:            47%,No Year-based regex match
HDFCBANK,compounded_profit_growth,TTM:                27%,No Year-based regex match
HDFCBANK,roe,Last Year:    17%,No Year-based regex match
INFY,compounded_sales_growth,TTM:            3%,No Year-based regex match
INFY,compounded_profit_growth,TTM:                 8%,No Year-based regex match
INFY,roe,Last Year:     32%,No Year-based regex match
