recommendation_rank,shortlist_rank,company_id,rank,final_score,shortlist_score,shortlist_category,risk_level,overall_class,financial_score,cashflow_score,growth_score,risk_score,signal_score,overall_score,investment_view,investment_summary,recommendation_category,signal_class,leverage_class,growth_class,cashflow_signal,primary_category,investor_profiles,recommended_action,recommendation_summary,recommendation_score
1,1,BPCL,1,93.67,96.2,Priority Shortlist,Low Risk,Strong Positive,86.67,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.,"BPCL shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk.",Positive,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Top Overall Pick,"Conservative, Growth, Cash Flow, Balanced",Priority Review,"BPCL is classified as Top Overall Pick with an overall classification of Strong Positive and a risk level of Low Risk. The final score is 93.67. Relevant investor profiles: Conservative, Growth, Cash Flow, Balanced.",103.67
2,2,LTIM,2,93.33,96.0,Priority Shortlist,Low Risk,Strong Positive,73.33,100,100,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.,"LTIM shows strong positive overall investment signals with low leverage, high growth, and positive cash flow signals. The assessed risk level is low risk.",Positive,Strong Positive,Low Leverage,High Growth,Positive Cash Flow Signals,Top Overall Pick,"Conservative, Growth, Cash Flow, Balanced",Priority Review,"LTIM is classified as Top Overall Pick with an overall classification of Strong Positive and a risk level of Low Risk. The final score is 93.33. Relevant investor profiles: Conservative, Growth, Cash Flow, Balanced.",103.33
3,3,HCLTECH,3,91.23,94.74,Priority Shortlist,Low Risk,Strong Positive,76.92,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.,"HCLTECH shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk.",Positive,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Top Overall Pick,"Conservative, Growth, Cash Flow, Balanced",Priority Review,"HCLTECH is classified as Top Overall Pick with an overall classification of Strong Positive and a risk level of Low Risk. The final score is 91.23. Relevant investor profiles: Conservative, Growth, Cash Flow, Balanced.",101.23
4,4,MOTHERSON,4,91.23,94.74,Priority Shortlist,Low Risk,Strong Positive,76.92,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.,"MOTHERSON shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk.",Positive,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Top Overall Pick,"Conservative, Growth, Cash Flow, Balanced",Priority Review,"MOTHERSON is classified as Top Overall Pick with an overall classification of Strong Positive and a risk level of Low Risk. The final score is 91.23. Relevant investor profiles: Conservative, Growth, Cash Flow, Balanced.",101.23
5,5,SUNPHARMA,5,91.12,94.67,Priority Shortlist,Low Risk,Strong Positive,76.47,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.,"SUNPHARMA shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk.",Positive,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Top Overall Pick,"Conservative, Growth, Cash Flow, Balanced",Priority Review,"SUNPHARMA is classified as Top Overall Pick with an overall classification of Strong Positive and a risk level of Low Risk. The final score is 91.12. Relevant investor profiles: Conservative, Growth, Cash Flow, Balanced.",101.12
6,6,BOSCHLTD,6,90.75,94.45,Priority Shortlist,Low Risk,Strong Positive,75.0,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.,"BOSCHLTD shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk.",Positive,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Top Overall Pick,"Conservative, Growth, Cash Flow, Balanced",Priority Review,"BOSCHLTD is classified as Top Overall Pick with an overall classification of Strong Positive and a risk level of Low Risk. The final score is 90.75. Relevant investor profiles: Conservative, Growth, Cash Flow, Balanced.",100.75
7,7,DRREDDY,7,90.75,94.45,Priority Shortlist,Low Risk,Strong Positive,75.0,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.,"DRREDDY shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk.",Positive,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Top Overall Pick,"Conservative, Growth, Cash Flow, Balanced",Priority Review,"DRREDDY is classified as Top Overall Pick with an overall classification of Strong Positive and a risk level of Low Risk. The final score is 90.75. Relevant investor profiles: Conservative, Growth, Cash Flow, Balanced.",100.75
8,8,ASIANPAINT,8,90.75,94.45,Priority Shortlist,Low Risk,Strong Positive,75.0,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.,"ASIANPAINT shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk.",Positive,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Top Overall Pick,"Conservative, Growth, Cash Flow, Balanced",Priority Review,"ASIANPAINT is classified as Top Overall Pick with an overall classification of Strong Positive and a risk level of Low Risk. The final score is 90.75. Relevant investor profiles: Conservative, Growth, Cash Flow, Balanced.",100.75
9,9,COALINDIA,9,90.33,94.2,Priority Shortlist,Low Risk,Strong Positive,73.33,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.,"COALINDIA shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk.",Positive,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Top Overall Pick,"Conservative, Growth, Cash Flow, Balanced",Priority Review,"COALINDIA is classified as Top Overall Pick with an overall classification of Strong Positive and a risk level of Low Risk. The final score is 90.33. Relevant investor profiles: Conservative, Growth, Cash Flow, Balanced.",100.33
10,10,APOLLOHOSP,10,89.86,93.92,Priority Shortlist,Low Risk,Strong Positive,71.43,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.,"APOLLOHOSP shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk.",Positive,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Top Overall Pick,"Conservative, Growth, Cash Flow, Balanced",Priority Review,"APOLLOHOSP is classified as Top Overall Pick with an overall classification of Strong Positive and a risk level of Low Risk. The final score is 89.86. Relevant investor profiles: Conservative, Growth, Cash Flow, Balanced.",99.86
