shortlist_rank,company_id,rank,final_score,shortlist_score,shortlist_category,risk_level,overall_class,financial_score,cashflow_score,growth_score,risk_score,signal_score,overall_score,investment_view
1,BPCL,1,93.67,96.2,Priority Shortlist,Low Risk,Strong Positive,86.67,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.
2,LTIM,2,93.33,96.0,Priority Shortlist,Low Risk,Strong Positive,73.33,100,100,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.
3,HCLTECH,3,91.23,94.74,Priority Shortlist,Low Risk,Strong Positive,76.92,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.
4,MOTHERSON,4,91.23,94.74,Priority Shortlist,Low Risk,Strong Positive,76.92,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.
5,SUNPHARMA,5,91.12,94.67,Priority Shortlist,Low Risk,Strong Positive,76.47,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.
6,BOSCHLTD,6,90.75,94.45,Priority Shortlist,Low Risk,Strong Positive,75.0,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.
7,DRREDDY,7,90.75,94.45,Priority Shortlist,Low Risk,Strong Positive,75.0,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.
8,ASIANPAINT,8,90.75,94.45,Priority Shortlist,Low Risk,Strong Positive,75.0,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.
9,COALINDIA,9,90.33,94.2,Priority Shortlist,Low Risk,Strong Positive,73.33,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.
10,APOLLOHOSP,10,89.86,93.92,Priority Shortlist,Low Risk,Strong Positive,71.43,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.
11,ONGC,11,89.86,93.92,Priority Shortlist,Low Risk,Strong Positive,71.43,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.
12,HINDALCO,12,89.65,93.79,Priority Shortlist,Low Risk,Strong Positive,70.59,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.
13,BAJAJ-AUTO,13,89.31,93.59,Priority Shortlist,Low Risk,Strong Positive,69.23,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.
14,MARUTI,14,89.19,93.51,Priority Shortlist,Low Risk,Strong Positive,68.75,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.
15,TATACONSUM,15,89.19,93.51,Priority Shortlist,Low Risk,Strong Positive,68.75,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.
16,TORNTPHARM,16,89.19,93.51,Priority Shortlist,Low Risk,Strong Positive,68.75,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.
17,ADANIPOWER,17,88.67,93.2,Priority Shortlist,Low Risk,Strong Positive,66.67,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.
18,ITC,18,88.64,93.18,Priority Shortlist,Low Risk,Strong Positive,78.57,100,60,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.
19,NESTLEIND,19,88.64,93.18,Priority Shortlist,Low Risk,Strong Positive,78.57,100,60,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.
20,IOC,20,88.23,92.94,Priority Shortlist,Low Risk,Strong Positive,76.92,100,60,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.
